"SD_DEPT_ID"	"SYS_CREATE_DATE"	"SYS_CREATE_BY"	"SYS_ENABLE_FLAG"	"SYS_KEYWORDS"	"SYS_SORT_NUM"	"SYS_UPDATE_DATE"	"SYS_UPDATE_BY"	"SD_BUSINESS_RELATED_FLAG"	"SD_DEPT_CODE"	"SD_DEPT_NAME"	"SD_DESCRIPTION"	"SD_LEADER_NAME_TO_POST"	"SD_LEADER_NAME_TO_USER"	"SD_PARENT_DEPT_NAME"	"SD_PARENT_LEADER_NAME_TO_POST"	"SD_PARENT_LEADER_NAME_TO_USER"	"SD_PORTAL_NAME"	"SD_PORTAL_URL"	"SD_PARENT_DEPT_ID"	"SD_LEADER_ID_TO_POST"	"SD_PARENT_LEADER_ID_TO_POST"	"SD_LEADER_ID_TO_USER"	"SD_PARENT_LEADER_ID_TO_USER"	"OA_DEPT_ID"
"4028809b3c6fbaa7013c6fbc39610097"		""		""	394		""		"060204"	"朋城1"	""	""	""	"光华区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610091"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610098"		""		""	401		""		"060211"	"尊城2"	""	""	""	"光华区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610091"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc39610099"		""		""	403		""		"060207"	"朋城3"	""	""	""	"光华区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610091"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961009a"		""		""	398		""		"060215"	"玉宇1"	""	""	""	"光华区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610091"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961009b"		""		""	506		""		"060217"	"玉宇3"	""	""	""	"光华区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610091"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961009c"		""		""	400		""		"060210"	"尊城1"	""	""	""	"光华区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610091"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961009d"		""		""	5458		""		"0609"	"双楠二区"	""	""	""	"【西南区】"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610081"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961009e"		""		""	421		""		"060906"	"菊乐2"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc3961009f"		""		""	417		""		"060901"	"广福1"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a0"		""		""	424		""		"060911"	"双楠2"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a1"		""		""	5506		""		"060913"	"双楠3"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a2"		""		""	418		""		"060902"	"广福2"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a3"		""		""	422		""		"060907"	"菊乐3"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a4"		""		""	420		""		"060905"	"菊乐1"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a5"		""		""	423		""		"060910"	"双楠1"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a6"		""		""	419		""		"060903"	"广福3"	""	""	""	"双楠二区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc3961009d"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a7"		""		""	376		""		"0601"	"财大区"	""	""	""	"【西南区】"	""	""	""	""	"4028809b3c6fbaa7013c6fbc39610081"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a8"		""		""	382		""		"060111"	"瑞联1"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100a9"		""		""	389		""		"060119"	"优品道2"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100aa"		""		""	516		""		"060101"	"贝森1"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100ab"		""		""	522		""		"060120"	"优品道3"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100ac"		""		""	378		""		"060106"	"家园2"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100ad"		""		""	384		""		"060113"	"瑞联3"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100ae"		""		""	377		""		"060105"	"家园1"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100af"		""		""	517		""		"060102"	"贝森2"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100b0"		""		""	388		""		"060117"	"优品道1"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100b1"		""		""	383		""		"060112"	"瑞联2"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100b2"		""		""	385		""		"060114"	"水木光华1"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100b3"		""		""	381		""		"060109"	"家园西2"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100b4"		""		""	386		""		"060115"	"水木光华2"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100b5"		""		""	380		""		"060108"	"家园西1"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100b6"		""		""	387		""		"060116"	"水木光华3"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
"4028809b3c6fbaa7013c6fbc396100b7"		""		""	379		""		"060107"	"家园3"	""	""	""	"财大区"	""	""	""	""	"4028809b3c6fbaa7013c6fbc396100a7"	""	""	""	""	
